,,,
,Total,37:10:00,-0:20:00
,,,
14,30 Mar,7:30,Fri
,31 Mar,7:30,Fri
,1 Apr,7:30,Fri
,2 Apr,7:30,
,3 Apr,7:30,
,Total,37:30:00,0:00:00
,,,
15,6 Apr,7:30,
,7 Apr,7:30,Fri
,8 Apr,8:30,
,9 Apr,7:40,
,10 Apr,8:00,
,Total,39:10:00,1:40:00
,,,
16,13 Apr,7:40,
,14 Apr,6:40,
,15 Apr,8:20,
,16 Apr,7:50,
,17 Apr,8:30,
,Total,39:00:00,1:30:00
,,,
17,20 Apr,7:20,
,21 Apr,8:05,
,22 Apr,7:30,
,23 Apr,7:30,Fri
,24 Apr,7:30,Fri
,Total,37:55:00,0:25:00
,,,
18,27 Apr,8:15,
,28 Apr,7:40,
,29 Apr,7:30,Fri
,30 Apr,7:30,Fr
,1 May,7:30,
,Total,38:25:00,0:55:00
,,,
19,4 May,8:00,
,5 May,9:30,
,6 May,8:35,
,7 May,5:00,
,8 May,5:30,
,Total,36:35:00,-0:55:00
,,,
20,11 May,7:30,
,12 May,7:30,
,13 May,7:30,
,14 May,7:30,
,15 May,7:30,
,Total,37:30:00,0:00:00
,,,
21,18 May,7:30,
,19 May,7:30,
,20 May,7:30,
,21 May,7:30,
,22 May,7:30,
,Total,37:30:00,0:00:00
,,,
22,25 May,7:30,
,26 May,7:30,
,27 May,7:30,
,28 May,6:30,
,29 May,7:00,
,Total,36:00:00,-1:30:00
,,,
23,1 Jun,7:15,
,2 Jun,7:50,
,3 Jun,8:00,
,4 Jun,8:30,
,5 Jun,7:30,Helligdag
,Total,39:05:00,1:35:00
,,,
24,8 Jun,8:20,
,9 Jun,9:30,
,10 Jun,7:45,
,11 Jun,7:20,
,12 Jun,6:20,
,Total,39:15:00,1:45:00
,,,
25,15 Jun,7:00,
,16 Jun,8:30,
,17 Jun,7:40,
,18 Jun,6:45,
,19 Jun,7:30,
,Total,37:25:00,-0:05:00
,,,
26,22 Jun,8:30,
,23 Jun,9:05,
,24 Jun,7:40,
,25 Jun,8:30,
,26 Jun,4:00,
,Total,37:45:00,0:15:00
,,,
27,29 Jun,7:00,
,30 Jun,8:35,
,1 Jul,7:45,
,2 Jul,7:00,
,3 Jul,7:30,Fri
,Total,37:50:00,0:20:00
,,,
28,6 Jul,8:07,
,7 Jul,8:30,
,8 Jul,7:20,
,9 Jul,6:00,
,10 Jul,5:40,
,Total,35:37:00,-1:53:00
,,,
29,13 Jul,9:40,
,14 Jul,7:50,
,15 Jul,5:30,
,16 Jul,7:40,
,17 Jul,7:50,
,Total,38:30:00,1:00:00
,,,
30,20 Jul,9:20,
,21 Jul,9:00,
,22 Jul,7:30,
,23 Jul,7:30,
